"GENEID","gene_1","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene_2","log2FC_FA_edited_vs_FA","padj_FA_edited_vs_FA","gene","dist_diag","significant"
"ENSG00000237931","CLIC4P3",3.66769077222597,NA,"CLIC4P3",-3.83509062618566,0.999919252887675,"CLIC4P3",5.30526760457715,NA
"ENSG00000237937","LINC02702",-2.72455383013552,NA,NA,NA,NA,"LINC02702",NA,NA
"ENSG00000237938","ENSG00000237938",4.00440786110063,NA,"ENSG00000237938",-4.17194254710612,0.999919252887675,"ENSG00000237938",5.78155281900039,NA
"ENSG00000237973","MTCO1P12",-4.20705153186924,NA,"MTCO1P12",0.0106229820421353,0.999919252887675,"MTCO1P12",2.98234624962441,NA
"ENSG00000237986","CELF2-AS2",-3.04361228087748,NA,NA,NA,NA,"CELF2-AS2",NA,NA
"ENSG00000237988","OR2I1",1.24065819590373,NA,"OR2I1",-1.60349153958991,0.999919252887675,"OR2I1",2.01111756467748,NA
"ENSG00000237989","LINC01679",4.47460187529215,NA,"LINC01679",-0.824682844653092,0.999919252887675,"LINC01679",3.74716016091153,NA
"ENSG00000237990","CNTN4-AS1",2.85898170249561,NA,"CNTN4-AS1",-3.02642902840595,0.999919252887675,"CNTN4-AS1",4.16161383788856,NA
"ENSG00000237991","RPL35P1",-0.832773351002524,NA,"RPL35P1",0.513267320834863,0.999919252887675,"RPL35P1",0.951794486809112,NA
"ENSG00000238005","LNCATV",-2.72455383013552,NA,NA,NA,NA,"LNCATV",NA,NA
"ENSG00000238039","ENSG00000238039",3.44499225513721,NA,"ENSG00000238039",-3.6124031007455,0.999919252887675,"ENSG00000238039",4.99033211365912,NA
"ENSG00000238058","CAMSAP1-DT",-3.92662109391993,NA,"CAMSAP1-DT",3.43552797591157,0.999919252887675,"CAMSAP1-DT",5.20582553138409,NA
"ENSG00000238077","NMNAT1P3",1.32592847824477,NA,"NMNAT1P3",-1.79183761984181,0.999919252887675,"NMNAT1P3",2.20459355011054,NA
"ENSG00000238082","NUDCP2",4.10265287743624,NA,"NUDCP2",-0.861359555194427,0.999919252887675,"NUDCP2",3.51008685300747,NA
"ENSG00000238084","ENSG00000238084",-0.165475445462929,NA,"ENSG00000238084",-0.0484755713495015,0.999919252887675,"ENSG00000238084",0.0827314043835769,NA
"ENSG00000238086","PPP1R26P1",2.03972037809761,NA,"PPP1R26P1",0.628155453145005,0.999919252887675,"PPP1R26P1",0.998127130519064,NA
"ENSG00000238090","ENSG00000238090",-4.04131517129671,NA,NA,NA,NA,"ENSG00000238090",NA,NA
"ENSG00000238099","LINC01625",-2.72455383013552,NA,"LINC01625",3.2899553415235,0.999919252887675,"LINC01625",4.25290022078878,NA
"ENSG00000238105","GOLGA2P5",-3.47089456686945,NA,NA,NA,NA,"GOLGA2P5",NA,NA
"ENSG00000238113","LINC01410",3.0355207473973,NA,"LINC01410",-0.190866251464188,0.999919252887675,"LINC01410",2.28140012562707,NA
"ENSG00000238120","LINC01589",0.193038852093818,NA,"LINC01589",-2.91935845783927,0.999919252887675,"LINC01589",2.20079724360046,NA
