"GENEID","gene_1","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene_2","log2FC_FA_edited_vs_FA","padj_FA_edited_vs_FA","gene","dist_diag","significant"
"ENSG00000229807","XIST",-9.05312993979298,7.32010709810237e-21,"XIST",2.93119131153702,0.776436778148882,"XIST",8.47419482473349,TRUE
"ENSG00000163191","S100A11",3.97519939229631,1.44645983665871e-20,"S100A11",0.018157382714489,0.999962111488567,"S100A11",2.79805123841535,TRUE
"ENSG00000214548","MEG3",-7.45857972814432,1.44645983665871e-20,"MEG3",7.24486644022972,3.18439370276268e-15,"MEG3",10.3969064924686,TRUE
"ENSG00000105329","TGFB1",2.64017553617151,2.78573394883017e-18,"TGFB1",-0.836601962418605,0.746418279995598,"TGFB1",2.45845294592987,TRUE
"ENSG00000223403","MEG9",-6.73214128531644,4.04358693317072e-18,"MEG9",6.31944715083614,4.83724717147772e-07,"MEG9",9.22886668845942,TRUE
"ENSG00000253537","PCDHGA7",-7.12414714417862,6.30748295053765e-16,"PCDHGA7",3.84761296120258,0.0855325361701643,"PCDHGA7",7.75820597206708,TRUE
"ENSG00000270641","TSIX",-9.30283608833675,6.1635405936421e-15,NA,NA,NA,"TSIX",NA,TRUE
"ENSG00000254245","PCDHGA3",-5.76068621377261,7.38449277444253e-13,"PCDHGA3",4.164692127619,0.0152852363792149,"PCDHGA3",7.0183023310401,TRUE
"ENSG00000285901","ENSG00000285901",10.1987099366334,9.95960449232961e-13,"ENSG00000285901",-1.46507532808966,0.999962111488567,"ENSG00000285901",8.24754165498942,TRUE
"ENSG00000291115","ENSG00000291115",-6.98882604562716,6.18411719613245e-08,"ENSG00000291115",5.27874937839061,0.999962111488567,"ENSG00000291115",8.6744857710404,TRUE
"ENSG00000229676","ZNF492",-5.80103548983622,8.50089115606433e-07,"ZNF492",5.0100148410529,6.04006228880537e-07,"ZNF492",7.64456700072077,TRUE
"ENSG00000253731","PCDHGA6",-5.20327953095883,8.65933706541407e-07,"PCDHGA6",2.96902329328447,0.251738051183767,"PCDHGA6",5.77869074493241,TRUE
"ENSG00000268173","ENSG00000268173",8.1920711234651,4.94433495291051e-06,"ENSG00000268173",-2.35488849685076,0.746296256369146,"ENSG00000268173",7.45782666842604,TRUE
"ENSG00000197360","ZNF98",-5.72823088976296,6.25445224714279e-06,"ZNF98",5.11061267953164,0.0140474823823356,"ZNF98",7.66421978806841,TRUE
"ENSG00000267470","ZNF571-AS1",-2.2010071942157,7.08994479362409e-06,"ZNF571-AS1",1.11969484758068,0.893789349830504,"ZNF571-AS1",2.34809093205423,TRUE
"ENSG00000225746","MEG8",-6.19486721600696,8.73300206885882e-06,"MEG8",5.82886046245266,0.00471846089759612,"MEG8",8.50205937657918,TRUE
"ENSG00000019549","SNAI2",3.26187241721568,8.75765071379553e-06,"SNAI2",0.692163664623883,0.999962111488567,"SNAI2",1.81705848463209,TRUE
"ENSG00000163359","COL6A3",3.1630025477659,1.22224230014196e-05,"COL6A3",2.44281901126637,0.396909472625815,"COL6A3",0.509246662357729,TRUE
"ENSG00000120149","MSX2",2.9469663780421,2.09740498566442e-05,"MSX2",2.43197755750214,0.45008224675657,"MSX2",0.364152087239067,TRUE
"ENSG00000165246","NLGN4Y",9.97342011992069,2.22287677479287e-05,"NLGN4Y",0.50226401376886,0.999962111488567,"NLGN4Y",6.69711870833633,TRUE
"ENSG00000257529","RPL36A-HNRNPH2",-6.54183891572711,2.46053701320563e-05,"RPL36A-HNRNPH2",6.25620843197155,5.60935642192694e-25,"RPL36A-HNRNPH2",9.04958606550423,TRUE
"ENSG00000137331","IER3",2.66384047230714,3.71043805247033e-05,"IER3",-0.25290279609809,0.999962111488567,"IER3",2.06244894406955,TRUE
"ENSG00000145936","KCNMB1",3.90868668903083,3.71043805247033e-05,"KCNMB1",-1.00212755055188,0.999962111488567,"KCNMB1",3.47247004995639,TRUE
"ENSG00000164694","FNDC1",3.90041809545453,6.78091588467282e-05,"FNDC1",0.00584496624857288,0.999962111488567,"FNDC1",2.75387906948845,TRUE
"ENSG00000277150","F8A3",-7.73289091429847,6.97784451480763e-05,"F8A3",4.93826534338957,0.748154968117294,"F8A3",8.95986051528557,TRUE
"ENSG00000290937","ENSG00000290937",3.84264607101961,8.01071881433549e-05,"ENSG00000290937",-0.92788157934118,0.999440304293572,"ENSG00000290937",3.37327245140804,TRUE
"ENSG00000214176","PLEKHM1P1",8.10437047166684,0.000104735529700645,"PLEKHM1P1",-0.742218378471558,0.999962111488567,"PLEKHM1P1",6.25548296630217,TRUE
"ENSG00000273213","H3-7",-5.00606026462683,0.000155034873413853,"H3-7",2.03580506056705,0.976463066923172,"H3-7",4.97935072364701,TRUE
"ENSG00000049247","UTS2",-3.64771893212872,0.000175696545667692,"UTS2",1.91463731003468,0.509841011964214,"UTS2",3.93317981820906,TRUE
