"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000227300",NA,NA,NA,"KRT16P2",2.85898170249561,NA,"KRT16P2",NA,NA
"ENSG00000227347",NA,NA,NA,"HNRNPKP2",3.59259754361811,NA,"HNRNPKP2",NA,NA
"ENSG00000227512",NA,NA,NA,"ENSG00000227512",0.0771938764096623,NA,"ENSG00000227512",NA,NA
"ENSG00000227536",NA,NA,NA,"SOCS5P4",4.59526331165557,NA,"SOCS5P4",NA,NA
"ENSG00000227634",NA,NA,NA,"LINC01714",1.39648624084024,NA,"LINC01714",NA,NA
"ENSG00000227646",NA,NA,NA,"STEAP2-AS1",-1.96313671678395,NA,"STEAP2-AS1",NA,NA
"ENSG00000227725",NA,NA,NA,"POLR2MP1",2.84639925259222,NA,"POLR2MP1",NA,NA
"ENSG00000227848",NA,NA,NA,"SUCLA2-AS1",2.83371395269547,NA,"SUCLA2-AS1",NA,NA
"ENSG00000227855",NA,NA,NA,"DPY19L2P3",0.552850887945283,NA,"DPY19L2P3",NA,NA
"ENSG00000227877",NA,NA,NA,"MRLN",3.86391427061796,NA,"MRLN",NA,NA
"ENSG00000227881",NA,NA,NA,"ASS1P5",2.83371395269547,NA,"ASS1P5",NA,NA
"ENSG00000227914",NA,NA,NA,"KANK1-AS1",3.33108862201397,NA,"KANK1-AS1",NA,NA
"ENSG00000227947",NA,NA,NA,"LINC01738",3.18153278268214,NA,"LINC01738",NA,NA
"ENSG00000228043",NA,NA,NA,"SPOPL-DT",4.5213858711526,NA,"SPOPL-DT",NA,NA
"ENSG00000228063",NA,NA,NA,"LYPLAL1-DT",-1.31548926504302,NA,"LYPLAL1-DT",NA,NA
"ENSG00000228126",NA,NA,NA,"FALEC",2.83785356912081,NA,"FALEC",NA,NA
"ENSG00000228352",NA,NA,NA,"DCAF12-AS1",3.83440414262351,NA,"DCAF12-AS1",NA,NA
"ENSG00000228373",NA,NA,NA,"ENSG00000228373",3.18153278268215,NA,"ENSG00000228373",NA,NA
"ENSG00000228400",NA,NA,NA,"CNTNAP5-DT",2.85898170249561,NA,"CNTNAP5-DT",NA,NA
"ENSG00000228407",NA,NA,NA,"ENSG00000228407",2.32743578905867,NA,"ENSG00000228407",NA,NA
"ENSG00000228451",NA,NA,NA,"SDAD1P1",3.86056828660268,NA,"SDAD1P1",NA,NA
"ENSG00000228513",NA,NA,NA,"ENSG00000228513",3.44499225513721,NA,"ENSG00000228513",NA,NA
"ENSG00000228590",NA,NA,NA,"MIR4432HG",-1.59070470217939,NA,"MIR4432HG",NA,NA
"ENSG00000228663",NA,NA,NA,"PSMD10P1",3.82338099141448,NA,"PSMD10P1",NA,NA
"ENSG00000228741",NA,NA,NA,"SPATA13",-0.321724894075486,NA,"SPATA13",NA,NA
"ENSG00000228817",NA,NA,NA,"BACH1-IT2",0.344250730069683,NA,"BACH1-IT2",NA,NA
"ENSG00000228824",NA,NA,NA,"MIR4500HG",2.92684924505506,NA,"MIR4500HG",NA,NA
"ENSG00000228828",NA,NA,NA,"TLK2P2",3.08927916122321,NA,"TLK2P2",NA,NA
"ENSG00000228830",NA,NA,NA,"ENSG00000228830",3.40326961573318,NA,"ENSG00000228830",NA,NA
"ENSG00000228839",NA,NA,NA,"PIK3IP1-DT",3.70257491770789,NA,"PIK3IP1-DT",NA,NA
"ENSG00000228869",NA,NA,NA,"COX4I1P2",3.15591376723761,NA,"COX4I1P2",NA,NA
"ENSG00000228882",NA,NA,NA,"CICP9",3.41913321789228,NA,"CICP9",NA,NA
"ENSG00000228944",NA,NA,NA,"ENSG00000228944",2.74774337108431,NA,"ENSG00000228944",NA,NA
"ENSG00000228960",NA,NA,NA,"OR2A9P",4.06669725054856,NA,"OR2A9P",NA,NA
"ENSG00000229000",NA,NA,NA,"SEPTIN7P8",1.86528642460167,NA,"SEPTIN7P8",NA,NA
"ENSG00000229021",NA,NA,NA,"ENSG00000229021",1.17735236111191,NA,"ENSG00000229021",NA,NA
"ENSG00000229057",NA,NA,NA,"RPS3AP54",3.3674259325106,NA,"RPS3AP54",NA,NA
"ENSG00000229109",NA,NA,NA,"FRMD3-AS1",2.4161122292689,NA,"FRMD3-AS1",NA,NA
"ENSG00000229207",NA,NA,NA,"SERPINH1P1",2.14598518820166,NA,"SERPINH1P1",NA,NA
"ENSG00000229222",NA,NA,NA,"KRT18P4",2.20875842333822,NA,"KRT18P4",NA,NA
"ENSG00000229237",NA,NA,NA,"HMGN1P37",-0.408848128460155,NA,"HMGN1P37",NA,NA
"ENSG00000229326",NA,NA,NA,"RPL17P15",3.12068724313873,NA,"RPL17P15",NA,NA
"ENSG00000229385",NA,NA,NA,"CTNNA2-AS1",3.44499225513721,NA,"CTNNA2-AS1",NA,NA
"ENSG00000229414",NA,NA,NA,"KCNQ1-AS1",0.366246820820842,NA,"KCNQ1-AS1",NA,NA
"ENSG00000229433",NA,NA,NA,"LINC02069",3.18153278268214,NA,"LINC02069",NA,NA
"ENSG00000229498",NA,NA,NA,"ENSG00000229498",4.76803567000325,NA,"ENSG00000229498",NA,NA
"ENSG00000229563",NA,NA,NA,"LINC01204",2.74774337108431,NA,"LINC01204",NA,NA
"ENSG00000229766",NA,NA,NA,"TMX4-AS1",4.87803697456249,NA,"TMX4-AS1",NA,NA
"ENSG00000229870",NA,NA,NA,"RPL21P89",3.18153278268215,NA,"RPL21P89",NA,NA
"ENSG00000229961",NA,NA,NA,"ENSG00000229961",2.85898170249561,NA,"ENSG00000229961",NA,NA
"ENSG00000230005",NA,NA,NA,"SNAP47-AS1",3.7452859299658,NA,"SNAP47-AS1",NA,NA
"ENSG00000230098",NA,NA,NA,"TCERG1L-AS1",3.42239981115439,NA,"TCERG1L-AS1",NA,NA
"ENSG00000230301",NA,NA,NA,"OR5H6",3.66769077222597,NA,"OR5H6",NA,NA
