"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_control_vs_FA_edited","padj_control_vs_FA_edited","gene","dist_diag","significant"
"ENSG00000160808","MYL3",2.95470037917487,0.737798606584411,"MYL3",1.98723400356011,0.826092608621895,"MYL3",0.684102034767169,FALSE
"ENSG00000163412","EIF4E3",-0.790507045336408,0.737798606584411,"EIF4E3",-0.62638487884816,0.534292838585189,"EIF4E3",0.116051896866868,FALSE
"ENSG00000163521","GLB1L",0.784812576428014,0.737798606584411,"GLB1L",0.194408475951452,0.990192564861971,"GLB1L",0.41747874308732,FALSE
"ENSG00000163682","RPL9",0.80894368649111,0.737798606584411,"RPL9",0.8581667373879,0.171431110082974,"RPL9",0.0348059530798104,FALSE
"ENSG00000166441","RPL27A",0.656309123224281,0.737798606584411,"RPL27A",0.759616262708928,0.40955278724848,"RPL27A",0.0730491788745781,FALSE
"ENSG00000177426","TGIF1",1.33609018235528,0.737798606584411,"TGIF1",1.04794949279488,0.713999941910086,"TGIF1",0.203746235523929,FALSE
"ENSG00000178033","CALHM5",1.45168132103992,0.737798606584411,"CALHM5",1.20082113654443,0.818025287910659,"CALHM5",0.177384937586469,FALSE
"ENSG00000182118","FAM89A",1.21571749890522,0.737798606584411,"FAM89A",0.476773331855134,0.957283489278383,"FAM89A",0.522512431439359,FALSE
"ENSG00000196141","SPATS2L",0.755696336648266,0.737798606584411,"SPATS2L",0.398050548201821,0.929944408317381,"SPATS2L",0.25289376227329,FALSE
"ENSG00000197308","GATA3-AS1",3.26476337737458,0.737798606584411,"GATA3-AS1",0.252183824977695,NA,"GATA3-AS1",2.13021543036377,NA
"ENSG00000198715","GLMP",1.19123072258593,0.737798606584411,"GLMP",0.607758882319806,0.891550542738713,"GLMP",0.412576894883574,FALSE
"ENSG00000205336","ADGRG1",-0.870738682650025,0.737798606584411,"ADGRG1",-0.915587723035811,0.372739970068548,"ADGRG1",0.0317130605864981,FALSE
"ENSG00000230725","ENSG00000230725",-1.59643685035248,0.737798606584411,"ENSG00000230725",-1.33048223621242,0.554671092473148,"ENSG00000230725",0.188058311146289,FALSE
"ENSG00000254221","PCDHGB1",1.05385822376267,0.737798606584411,"PCDHGB1",0.718718547962175,0.896013172073197,"PCDHGB1",0.236979537403191,FALSE
