"GENEID","GENENAME","log2FoldChange.iPSC","padj.iPSC","baseMean.iPSC","log2FoldChange.iNeurons","padj.iNeurons","baseMean.iNeurons","overlap_category","mean_abs_lfc","direction_concordant"
"ENSG00000165246","NLGN4Y",9.41639742126335,0.0126488324422569,784.899339837369,9.97342011992069,2.22287677479287e-05,336.271870105328,"Both",9.69490877059202,TRUE
"ENSG00000214548","MEG3",-9.09292275093223,0.00276451231548858,2763.91890187347,-7.45857972814432,1.44645983665871e-20,4296.71752125359,"Both",8.27575123953827,TRUE
"ENSG00000225746","MEG8",-9.78625873583998,4.95256982630991e-10,80.1261732303242,-6.19486721600696,8.73300206885882e-06,42.19860466697,"Both",7.99056297592347,TRUE
"ENSG00000291115","",-8.87592175345718,9.7658989931887e-08,42.7066441033182,-6.98882604562716,6.18411719613245e-08,50.7706879704313,"Both",7.93237389954217,TRUE
"ENSG00000229807","XIST",-6.51236827344097,3.99521367538183e-10,1141.42883747653,-9.05312993979298,7.32010709810237e-21,2288.97167261685,"Both",7.78274910661698,TRUE
"ENSG00000223403","MEG9",-7.06221140190204,1.52464628113809e-08,62.6766098848491,-6.73214128531644,4.04358693317072e-18,129.995362535713,"Both",6.89717634360924,TRUE
"ENSG00000197360","ZNF98",-6.40783362139365,0.0145121391042652,283.56903174068,-5.72823088976296,6.25445224714279e-06,50.3676524069497,"Both",6.0680322555783,TRUE
"ENSG00000174080","CTSF",-5.70141517373958,9.28524010796096e-33,243.806201739491,-5.60780575018036,0.000197320029971536,53.3164951028663,"Both",5.65461046195997,TRUE
"ENSG00000213973","ZNF99",-4.81637011637083,1.4347825530889e-10,97.2264533330654,-5.96319545699308,0.00808282608718191,20.8819933024371,"Both",5.38978278668196,TRUE
"ENSG00000127399","LRRC61",-4.44540659154416,0.0111068822878842,260.198583018284,-5.0513585014286,0.00124614160545239,245.754938035213,"Both",4.74838254648638,TRUE
"ENSG00000290937","",2.40226655013441,1.32936311714433e-11,318.544149693854,3.84264607101961,8.01071881433549e-05,118.373614727178,"Both",3.12245631057701,TRUE
"ENSG00000233098","CCDC144NL-AS1",2.06400474846464,0.0158060087526341,264.770320032935,1.78209276631321,0.0296602450878023,447.382212468334,"Both",1.92304875738893,TRUE
"ENSG00000205746","PKD1P4",1.33603721496425,0.00856667822419343,491.401933154733,1.29788144904792,0.0490994113264446,1693.35360938134,"Both",1.31695933200608,TRUE
"ENSG00000056998","GYG2",-0.815649695074379,0.0109918233848076,2284.49547948206,-1.29148606239964,0.0106084820080501,1602.83364323851,"Both",1.05356787873701,TRUE
"ENSG00000099715","PCDH11Y",8.24273587552076,0.661224525230787,28.2924197155685,6.17712883382171,0.000762836898778997,74.7147471249695,"Only_iNeurons",7.20993235467123,NA
"ENSG00000264204","AGAP7P",-5.94173516705551,0.442730543007696,41.4336691506332,-5.91423281233215,0.00352803020279403,51.1108873736599,"Only_iNeurons",5.92798398969383,NA
