"GENEID","GENENAME","log2FoldChange.iPSC","padj.iPSC","baseMean.iPSC","log2FoldChange.iNeurons","padj.iNeurons","baseMean.iNeurons","overlap_category","mean_abs_lfc","direction_concordant"
"ENSG00000270641","TSIX",-5.40914520021722,1.15463534188619e-16,122.095096512351,-11.6757395764835,8.67697333533906e-14,299.202628531368,"Both",8.54244238835035,TRUE
"ENSG00000229807","XIST",-6.73089774480679,9.60746834815911e-10,1462.92706011027,-6.05089855407838,2.20989601519823e-07,876.613765195593,"Both",6.39089814944258,TRUE
"ENSG00000165118","QNG1",-2.38771766554521,3.30992922680934e-05,246.512096974245,-3.96212043495334,0.0339084670618228,57.2734654385727,"Both",3.17491905024928,TRUE
"ENSG00000108821","COL1A1",0.728872830094394,0.0210756416497726,4355.20654562795,3.4540399972331,1.07392428358254e-05,17105.9853478858,"Both",2.09145641366375,TRUE
"ENSG00000165060","FXN",-2.16459295865401,1.64186893320952e-18,590.787095250052,-1.38717596105976,0.0200810812032125,293.099064344015,"Both",1.77588445985688,TRUE
"ENSG00000148926","ADM",-1.0624830010797,0.00706782443289488,1663.34699237342,2.14554255891933,0.00989226936979413,168.828851319233,"Both",1.60401277999952,FALSE
"ENSG00000129824","RPS4Y1",13.9918161509701,0.0590436227094785,1589.39819370688,13.8344125713037,0.0450767793931323,1350.929973604,"Only_iNeurons",13.9131143611369,NA
"ENSG00000165246","NLGN4Y",9.32156110839938,0.100735120393945,721.466887197269,10.4627643594778,2.18122872994074e-07,445.210919715629,"Only_iNeurons",9.89216273393861,NA
"ENSG00000099715","PCDH11Y",7.41353730482355,0.63087816169194,16.6310229004243,5.66224499749399,0.00232740697852486,66.0563554086659,"Only_iNeurons",6.53789115115877,NA
"ENSG00000264204","AGAP7P",-7.97172488897145,0.288302142959259,42.6370961665623,-4.8166255352081,0.0261345634837649,50.1913995968422,"Only_iNeurons",6.39417521208978,NA
"ENSG00000214176","PLEKHM1P1",-4.53132958688304,NA,2.01843805383501,7.35778083186656,0.0144465649729147,15.1981575128021,"Only_iNeurons",5.9445552093748,NA
"ENSG00000237161","",3.83994965440354,NA,1.39624404407485,6.49621347327029,0.0317931462531261,8.33379825401277,"Only_iNeurons",5.16808156383691,NA
"ENSG00000215030","RPL13P12",3.84145926121854,0.0658791444680182,298.116493414892,6.15028158163129,2.80592399056995e-05,233.888113416037,"Only_iNeurons",4.99587042142492,NA
"ENSG00000213886","UBD",3.58648945377376,NA,1.16856286743472,6.25823078456372,0.0189157698421725,13.8755050377679,"Only_iNeurons",4.92236011916874,NA
"ENSG00000286125","",5.25651630764187,0.630909676884375,113.059862405604,4.50333332692113,0.000198962186037368,250.101721105496,"Only_iNeurons",4.8799248172815,NA
"ENSG00000141338","ABCA8",-3.84338829237322,NA,1.23771425540016,5.35137362845584,1.01141610812407e-07,126.354658257797,"Only_iNeurons",4.59738096041453,NA
"ENSG00000227954","TARID",2.80355781120364,NA,0.684922866764291,6.2438272433415,0.0284709581677841,11.8756861670425,"Only_iNeurons",4.52369252727257,NA
"ENSG00000179348","GATA2",5.55058597332138,NA,8.52734875731448,3.17081077605968,0.00787880103006127,180.162952853658,"Only_iNeurons",4.36069837469053,NA
"ENSG00000134121","CHL1",5.00372570777498,NA,3.13292766877806,3.54875153022505,0.0428382581681142,1208.4459915265,"Only_iNeurons",4.27623861900002,NA
"ENSG00000102760","RGCC",-2.87000596038825,NA,0.627886104630862,5.1068873658906,0.00400205304518807,98.1100746497801,"Only_iNeurons",3.98844666313943,NA
"ENSG00000176907","TCIM",4.09916167500576,NA,1.67026585134816,3.85815865985714,0.000281420981972673,186.046505772674,"Only_iNeurons",3.97866016743145,NA
"ENSG00000085741","WNT11",-3.56418596572617,NA,7.41935956323722,4.2896439074085,3.09117678946997e-05,44.5241420166871,"Only_iNeurons",3.92691493656733,NA
"ENSG00000198286","CARD11",-0.478960371274289,0.467946064749131,1232.86063032189,-7.30792749245379,0.00990920772745284,39.620084102277,"Only_iNeurons",3.89344393186404,NA
"ENSG00000184584","STING1",0.431308854348203,NA,4.62831442787202,7.27979954600835,0.00137927528520252,36.3397520192646,"Only_iNeurons",3.85555420017828,NA
"ENSG00000054598","FOXC1",2.91800555876746,0.662704057327008,12.1941259745889,4.56335909615008,0.000799951586946031,1137.49408553673,"Only_iNeurons",3.74068232745877,NA
"ENSG00000174059","CD34",1.11859871646711,0.934793696135815,12.1245375209118,6.2981253737829,0.00389328743402528,27.9759920470281,"Only_iNeurons",3.70836204512501,NA
"ENSG00000004468","CD38",1.33096677357996,0.893336175168,17.9485927584878,5.90514635566702,0.0128297345316639,30.8000325462787,"Only_iNeurons",3.61805656462349,NA
"ENSG00000229183","PGA4",-0.80774603042198,0.973317391348317,10.8813237773863,6.35510582926463,0.0149971203500934,13.3576412268213,"Only_iNeurons",3.58142592984331,NA
"ENSG00000163359","COL6A3",1.39558106304667,0.173578362564835,167.431349018829,5.59966952693913,1.01141610812407e-07,1150.4190037539,"Only_iNeurons",3.4976252949929,NA
"ENSG00000263335","",-0.115713322907804,0.996137067402619,11.4710376636281,6.87910989939483,0.0155848819751401,10.8897241426529,"Only_iNeurons",3.49741161115132,NA
"ENSG00000163132","MSX1",3.29681472521515,0.523737422717315,13.7560000950057,3.65029555385463,0.0232496250917273,507.274796890878,"Only_iNeurons",3.47355513953489,NA
"ENSG00000187634","SAMD11",4.46052820119116,NA,7.3527261703335,2.3778471307855,0.00093827209561509,1173.63321270312,"Only_iNeurons",3.41918766598833,NA
"ENSG00000232284","GNG12-AS1",-1.90119223708245,NA,2.40243447811295,4.81914152358036,0.0450767793931323,15.3156549374874,"Only_iNeurons",3.3601668803314,NA
"ENSG00000136944","LMX1B",2.71462496474963,0.336389529347795,23.5174449857597,3.90818078803587,0.025030556481717,402.209215358798,"Only_iNeurons",3.31140287639275,NA
"ENSG00000058866","DGKG",-2.43766134601406,0.599841288262555,27.2355006186767,4.15810982144875,0.00255965956329391,33.4364317075351,"Only_iNeurons",3.2978855837314,NA
"ENSG00000168497","CAVIN2",-3.4247465911014,NA,1.96606762374872,3.05553744025628,0.0113080588140433,53.5329281865655,"Only_iNeurons",3.24014201567884,NA
"ENSG00000145623","OSMR",-0.174979234289321,0.97783798593978,193.118626306656,6.05204052940515,5.14696338367245e-05,42.0494288607231,"Only_iNeurons",3.11350988184723,NA
"ENSG00000266524","GDF10",-1.15585247257328,NA,4.3132884622917,5.01503314631721,5.14696338367245e-05,360.688747421472,"Only_iNeurons",3.08544280944524,NA
"ENSG00000168542","COL3A1",1.28599809141109,0.982596064304825,30.7992890839659,4.80860571401458,5.14696338367245e-05,31174.7976642005,"Only_iNeurons",3.04730190271283,NA
"ENSG00000183160","TMEM119",1.25513734518926,0.909068162315777,16.7144280153659,4.71317520984972,0.0189157698421725,120.545701618202,"Only_iNeurons",2.98415627751949,NA
"ENSG00000135111","TBX3",2.04470147512259,NA,16.456866554504,3.90903658686401,0.00232703264923377,334.308521003732,"Only_iNeurons",2.9768690309933,NA
"ENSG00000253485","PCDHGA5",2.10244663210426,0.536364806297457,20.7595374583613,-3.69819861370142,0.00946424201622202,80.5323410113549,"Only_iNeurons",2.90032262290284,NA
"ENSG00000288637","",3.36756840857784,0.785156985117564,10.7135008527512,-2.41530349949249,0.0363782262910181,72.6398618251983,"Only_iNeurons",2.89143595403516,NA
"ENSG00000183801","OLFML1",-1.63968770001128,NA,1.41042322187879,4.1181975007596,0.0155848819751401,83.3885677846957,"Only_iNeurons",2.87894260038544,NA
"ENSG00000120149","MSX2",0.332327258846673,0.990859049498566,11.305739563447,5.37267186754626,2.4787564748121e-05,488.190169058074,"Only_iNeurons",2.85249956319647,NA
"ENSG00000249669","CARMN",2.27157773255646,NA,3.59844743743327,3.24560320860616,0.0119306848860877,29.2637691066603,"Only_iNeurons",2.75859047058131,NA
"ENSG00000139329","LUM",1.64575645181029,NA,1.12692017895499,3.80220980080973,0.00805596862187004,1688.59220046113,"Only_iNeurons",2.72398312631001,NA
"ENSG00000120708","TGFBI",-0.537609338336498,0.613932967461747,311.763169035637,4.83098548361516,0.000312291500105901,1729.03195069097,"Only_iNeurons",2.68429741097583,NA
"ENSG00000285816","",-2.54867355684951,0.322263441980073,49.8986563048747,-2.79338000926852,0.0189705179819473,69.2930549580619,"Only_iNeurons",2.67102678305902,NA
"ENSG00000122641","INHBA",1.00728605234906,0.738068355361563,84.6621918979998,4.02291389976545,2.14899248373002e-06,126.522573711392,"Only_iNeurons",2.51509997605725,NA
"ENSG00000112769","LAMA4",1.05973484013004,0.785156985117564,42.8123211407706,3.93957335173773,0.00577508737637853,2891.91801543436,"Only_iNeurons",2.49965409593388,NA
"ENSG00000164694","FNDC1",1.02691474759924,0.896413768722846,20.6716797058999,3.90152157386462,0.000244911172744828,77.685377389542,"Only_iNeurons",2.46421816073193,NA
"ENSG00000164692","COL1A2",0.160464313924093,0.939188643607467,3250.11597304,4.67444031153067,4.60058909379786e-07,10805.2244921827,"Only_iNeurons",2.41745231272738,NA
"ENSG00000226686","LINC01535",-2.02547542718625,0.400015983297188,96.8337089090538,-2.73575871192799,0.00990920772745284,98.4599183616667,"Only_iNeurons",2.38061706955712,NA
"ENSG00000107485","GATA3",-1.10968618410347,NA,6.24882986881339,3.55325825988646,0.000103739825296987,77.108819104859,"Only_iNeurons",2.33147222199497,NA
"ENSG00000230658","KLHL7-DT",-1.53493191243687,0.601661528578794,34.2474262378227,-3.04373824580396,0.0098735090408657,29.1324152109274,"Only_iNeurons",2.28933507912042,NA
"ENSG00000003436","TFPI",1.51869440989282,0.169190804143455,94.2918297444902,3.0014263800142,0.00122555737583106,508.359182289173,"Only_iNeurons",2.26006039495351,NA
"ENSG00000019549","SNAI2",0.521887459355357,0.972280808000046,15.4813689662716,3.94978510289143,0.000314585252465846,611.318724225416,"Only_iNeurons",2.2358362811234,NA
"ENSG00000241743","XACT",-0.0995018372920319,0.99568843701188,557.300564597945,-4.34457628146406,0.010684546836714,90.392370186948,"Only_iNeurons",2.22203905937805,NA
"ENSG00000182492","BGN",0.565896810351408,0.867788332759557,122.774880369668,3.83697608066278,5.54073891287873e-05,3602.20129056996,"Only_iNeurons",2.20143644550709,NA
"ENSG00000113389","NPR3",-0.369133920679151,NA,0.791163917894623,3.97155367020995,0.0249423362555077,767.538074261544,"Only_iNeurons",2.17034379544455,NA
"ENSG00000111348","ARHGDIB",-2.14560257047937,0.54678207875775,26.8297453658025,2.16393575705019,0.0307373258602608,82.7079629098077,"Only_iNeurons",2.15476916376478,NA
"ENSG00000204262","COL5A2",-0.261965102642673,0.908553868808348,816.71800576809,4.01632423723168,0.000261203844603742,12068.4172057221,"Only_iNeurons",2.13914466993718,NA
"ENSG00000151617","EDNRA",-0.0587605433587679,0.991737378965884,138.070829752308,4.19357068894241,1.07392428358254e-05,789.039940388381,"Only_iNeurons",2.12616561615059,NA
"ENSG00000176971","FIBIN",-0.0230661472079367,0.998846812575875,10.9552557077744,4.19278569925612,0.0480141142871739,32.0989945976384,"Only_iNeurons",2.10792592323203,NA
"ENSG00000160678","S100A1",-0.40686295573338,0.975766909555381,39.727288647533,3.71317332338503,0.00707077354006271,36.0217345939943,"Only_iNeurons",2.06001813955921,NA
"ENSG00000163453","IGFBP7",-0.339823086169122,0.990198028411108,9.00061620745569,3.75432726312925,0.00245860279068016,402.586635448095,"Only_iNeurons",2.04707517464918,NA
"ENSG00000095739","BAMBI",-0.850986760149676,0.300865578153602,502.192657159559,3.22589030416869,0.032754589226389,731.050629931393,"Only_iNeurons",2.03843853215918,NA
"ENSG00000163191","S100A11",-0.0522471052264569,0.988280038653626,1575.63969456657,3.98700010418728,1.01141610812407e-07,650.337637284756,"Only_iNeurons",2.01962360470687,NA
"ENSG00000102195","GPR50",1.33256117569293,0.766725148163953,34.464348633381,-2.68217894116173,0.0333803473574934,49.4065829211201,"Only_iNeurons",2.00737005842733,NA
"ENSG00000290937","",1.08798368465274,0.3199362957947,164.419249035758,2.9137642085194,0.014802724977111,62.8961644399008,"Only_iNeurons",2.00087394658607,NA
"ENSG00000164125","GASK1B",-0.0645144589245457,0.998896188579329,15.7753962395497,3.89796004636686,1.07392428358254e-05,1075.64489548619,"Only_iNeurons",1.98123725264571,NA
"ENSG00000293328","NKAPP1",0.961092530956627,0.888041286943657,26.0387120727413,-2.9885911743672,0.0388258766740908,29.2116184079154,"Only_iNeurons",1.97484185266191,NA
"ENSG00000154342","WNT3A",0.074992135990795,NA,7.55834080091789,3.8710342625601,0.0361169011325632,143.151950250929,"Only_iNeurons",1.97301319927545,NA
"ENSG00000138080","EMILIN1",0.630699744074183,0.830158173401665,124.594258584455,3.23409215123841,0.0218546440588886,999.518683099131,"Only_iNeurons",1.9323959476563,NA
"ENSG00000214389","RPS3AP26",0.606103159559885,0.857742210847162,114.042747820751,3.24374894306427,0.00719272071382968,84.8583343770167,"Only_iNeurons",1.92492605131208,NA
