"GENEID","gene_1","log2FC_control_vs_FA","padj_control_vs_FA","gene_2","log2FC_FA_edited_vs_FA","padj_FA_edited_vs_FA","gene","dist_diag","significant"
"ENSG00000259753",NA,NA,NA,"ENSG00000259753",-4.83594694294487,0.999919252887675,"ENSG00000259753",NA,NA
"ENSG00000259797",NA,NA,NA,"ENSG00000259797",-4.29529368271422,0.999919252887675,"ENSG00000259797",NA,NA
"ENSG00000259814",NA,NA,NA,"ENSG00000259814",-3.80920723449074,0.999919252887675,"ENSG00000259814",NA,NA
"ENSG00000259828",NA,NA,NA,"ENSG00000259828",-3.02642902840595,0.999919252887675,"ENSG00000259828",NA,NA
"ENSG00000259884",NA,NA,NA,"NR4A1AS",-1.3511832019278,0.999919252887675,"NR4A1AS",NA,NA
"ENSG00000259918",NA,NA,NA,"NDUFA5P11",-0.0790322762377003,0.999919252887675,"NDUFA5P11",NA,NA
"ENSG00000259986",NA,NA,NA,"ENSG00000259986",-3.72470248300573,0.999919252887675,"ENSG00000259986",NA,NA
"ENSG00000260029",NA,NA,NA,"ENSG00000260029",-2.91935845783927,0.999919252887675,"ENSG00000260029",NA,NA
"ENSG00000260059",NA,NA,NA,"ENSG00000260059",-3.00130643722141,0.999919252887675,"ENSG00000260059",NA,NA
"ENSG00000260170",NA,NA,NA,"ENSG00000260170",-2.94586705111985,0.999919252887675,"ENSG00000260170",NA,NA
"ENSG00000260211",NA,NA,NA,"ENSG00000260211",-3.24036598983007,0.999919252887675,"ENSG00000260211",NA,NA
"ENSG00000260246",NA,NA,NA,"ENSG00000260246",-2.30074744446562,0.999919252887675,"ENSG00000260246",NA,NA
"ENSG00000260259",NA,NA,NA,"LINC02166",-2.91935845783927,0.999919252887675,"LINC02166",NA,NA
"ENSG00000260369",NA,NA,NA,"ENSG00000260369",-1.14102143167901,0.999919252887675,"ENSG00000260369",NA,NA
"ENSG00000260391",NA,NA,NA,"ENSG00000260391",-3.00130643722141,0.999919252887675,"ENSG00000260391",NA,NA
"ENSG00000260441",NA,NA,NA,"ENSG00000260441",-2.91935845783927,0.999919252887675,"ENSG00000260441",NA,NA
"ENSG00000260473",NA,NA,NA,"ENSG00000260473",-4.1211364290358,0.999919252887675,"ENSG00000260473",NA,NA
"ENSG00000260500",NA,NA,NA,"ENSG00000260500",-3.97979727752916,0.999919252887675,"ENSG00000260500",NA,NA
"ENSG00000260558",NA,NA,NA,"ENSG00000260558",-3.83509062618566,0.999919252887675,"ENSG00000260558",NA,NA
"ENSG00000260600",NA,NA,NA,"ENSG00000260600",-3.83509062618566,0.999919252887675,"ENSG00000260600",NA,NA
"ENSG00000260612",NA,NA,NA,"ENSG00000260612",-1.30161310389837,0.999919252887675,"ENSG00000260612",NA,NA
"ENSG00000260613",NA,NA,NA,"ENSG00000260613",-1.68408445218718,0.999919252887675,"ENSG00000260613",NA,NA
"ENSG00000260615",NA,NA,NA,"RPL23AP97",-4.23842904985202,0.999919252887675,"RPL23AP97",NA,NA
"ENSG00000260619",NA,NA,NA,"ENSG00000260619",-1.22296150951492,0.999919252887675,"ENSG00000260619",NA,NA
"ENSG00000260689",NA,NA,NA,"HNRNPA3P11",-4.02795963648613,0.999919252887675,"HNRNPA3P11",NA,NA
"ENSG00000260722",NA,NA,NA,"VN1R67P",-3.24036598983007,0.999919252887675,"VN1R67P",NA,NA
"ENSG00000260738",NA,NA,NA,"LINC00554",-3.0202501185018,0.999919252887675,"LINC00554",NA,NA
"ENSG00000260742",NA,NA,NA,"ITPRID2-DT",-1.84339927001331,0.999919252887675,"ITPRID2-DT",NA,NA
"ENSG00000260761",NA,NA,NA,"ENSG00000260761",-4.41928863599719,0.999919252887675,"ENSG00000260761",NA,NA
"ENSG00000260777",NA,NA,NA,"ENSG00000260777",-4.56914430539324,0.999919252887675,"ENSG00000260777",NA,NA
"ENSG00000260784",NA,NA,NA,"ENSG00000260784",-3.24036598983007,0.999919252887675,"ENSG00000260784",NA,NA
"ENSG00000260790",NA,NA,NA,"CDR2-DT",-4.37542197519636,0.999919252887675,"CDR2-DT",NA,NA
"ENSG00000260798",NA,NA,NA,"ENSG00000260798",-3.34895858358283,0.999919252887675,"ENSG00000260798",NA,NA
"ENSG00000260799",NA,NA,NA,"KRT8P50",-3.6124031007455,0.999919252887675,"KRT8P50",NA,NA
"ENSG00000260803",NA,NA,NA,"ENSG00000260803",-2.53367178672029,0.999919252887675,"ENSG00000260803",NA,NA
"ENSG00000260810",NA,NA,NA,"ENSG00000260810",-3.72470248300573,0.999919252887675,"ENSG00000260810",NA,NA
"ENSG00000260816",NA,NA,NA,"ENSG00000260816",-1.20966248996344,0.999919252887675,"ENSG00000260816",NA,NA
"ENSG00000260876",NA,NA,NA,"LINC01229",-4.37574908300308,0.999919252887675,"LINC01229",NA,NA
"ENSG00000260930",NA,NA,NA,"LINC01416",-4.0019451187239,0.999919252887675,"LINC01416",NA,NA
"ENSG00000260976",NA,NA,NA,"LINC01633",-0.557387524469129,0.999919252887675,"LINC01633",NA,NA
"ENSG00000260979",NA,NA,NA,"USP7-AS1",-3.00130643722141,0.999919252887675,"USP7-AS1",NA,NA
"ENSG00000260989",NA,NA,NA,"ENSG00000260989",-3.34895858358283,0.999919252887675,"ENSG00000260989",NA,NA
"ENSG00000261057",NA,NA,NA,"LINC00555",-3.50276803408509,0.999919252887675,"LINC00555",NA,NA
"ENSG00000261113",NA,NA,NA,"ENSG00000261113",-5.047729304458,0.999919252887675,"ENSG00000261113",NA,NA
"ENSG00000261116",NA,NA,NA,"ENSG00000261116",-4.61345038302557,0.999919252887675,"ENSG00000261116",NA,NA
"ENSG00000261172",NA,NA,NA,"ENSG00000261172",-3.70593400194339,0.999919252887675,"ENSG00000261172",NA,NA
"ENSG00000261208",NA,NA,NA,"ENSG00000261208",-3.55720233187995,0.999919252887675,"ENSG00000261208",NA,NA
"ENSG00000261243",NA,NA,NA,"ENSG00000261243",0.511730566828661,0.999919252887675,"ENSG00000261243",NA,NA
"ENSG00000261320",NA,NA,NA,"ENSG00000261320",-3.9169980523045,0.999919252887675,"ENSG00000261320",NA,NA
"ENSG00000261348",NA,NA,NA,"LINC02136",-4.11150492602093,0.999919252887675,"LINC02136",NA,NA
"ENSG00000261357",NA,NA,NA,"ENSG00000261357",-3.83509062618566,0.999919252887675,"ENSG00000261357",NA,NA
"ENSG00000261459",NA,NA,NA,"ENSG00000261459",-5.37523164567338,0.999919252887675,"ENSG00000261459",NA,NA
"ENSG00000261460",NA,NA,NA,"CELF6-AS1",-3.03349421915124,0.999919252887675,"CELF6-AS1",NA,NA
"ENSG00000261469",NA,NA,NA,"ENSG00000261469",-1.59613794000881,0.999919252887675,"ENSG00000261469",NA,NA
"ENSG00000261481",NA,NA,NA,"CARHSP1-DT",-3.02642902840595,0.999919252887675,"CARHSP1-DT",NA,NA
"ENSG00000261528",NA,NA,NA,"CCNYL7",-3.02642902840595,0.999919252887675,"CCNYL7",NA,NA
"ENSG00000261529",NA,NA,NA,"ENSG00000261529",-3.57922015913182,0.999919252887675,"ENSG00000261529",NA,NA
"ENSG00000261546",NA,NA,NA,"ENSG00000261546",-3.28960076602701,0.999919252887675,"ENSG00000261546",NA,NA
"ENSG00000261592",NA,NA,NA,"ENSG00000261592",-4.35020385397965,0.999919252887675,"ENSG00000261592",NA,NA
"ENSG00000261646",NA,NA,NA,"ENSG00000261646",-3.02642902840595,0.999919252887675,"ENSG00000261646",NA,NA
"ENSG00000261728",NA,NA,NA,"ENSG00000261728",0.427377965808624,0.999919252887675,"ENSG00000261728",NA,NA
"ENSG00000261742",NA,NA,NA,"LINC00922",-3.50276803408509,0.999919252887675,"LINC00922",NA,NA
"ENSG00000261793",NA,NA,NA,"ENSG00000261793",-4.61345038302557,0.999919252887675,"ENSG00000261793",NA,NA
"ENSG00000261839",NA,NA,NA,"ENSG00000261839",-3.34398283158513,0.999919252887675,"ENSG00000261839",NA,NA
"ENSG00000261898",NA,NA,NA,"ENSG00000261898",1.46266585810187,0.999919252887675,"ENSG00000261898",NA,NA
"ENSG00000261924",NA,NA,NA,"ENSG00000261924",-3.7881604969822,0.999919252887675,"ENSG00000261924",NA,NA
"ENSG00000261970",NA,NA,NA,"ENSG00000261970",-3.6124031007455,0.999919252887675,"ENSG00000261970",NA,NA
"ENSG00000262011",NA,NA,NA,"ENSG00000262011",-3.6124031007455,0.999919252887675,"ENSG00000262011",NA,NA
"ENSG00000262097",NA,NA,NA,"LINC02185",-1.9504909030619,0.999919252887675,"LINC02185",NA,NA
"ENSG00000262115",NA,NA,NA,"ENSG00000262115",-3.58669218331342,0.999919252887675,"ENSG00000262115",NA,NA
"ENSG00000262188",NA,NA,NA,"LINC01978",-4.94530564780177,0.999919252887675,"LINC01978",NA,NA
"ENSG00000262319",NA,NA,NA,"ENSG00000262319",-2.91935845783927,0.999919252887675,"ENSG00000262319",NA,NA
"ENSG00000262660",NA,NA,NA,"ENSG00000262660",-5.55962203498241,0.999919252887675,"ENSG00000262660",NA,NA
"ENSG00000262732",NA,NA,NA,"ENSG00000262732",-4.55458719732124,0.999919252887675,"ENSG00000262732",NA,NA
"ENSG00000262899",NA,NA,NA,"ENSG00000262899",-4.50112664457489,0.999919252887675,"ENSG00000262899",NA,NA
"ENSG00000262902",NA,NA,NA,"MTCO1P40",-0.0379722371178926,0.999919252887675,"MTCO1P40",NA,NA
"ENSG00000262920",NA,NA,NA,"ENSG00000262920",-2.91935845783927,0.999919252887675,"ENSG00000262920",NA,NA
"ENSG00000262979",NA,NA,NA,"ENSG00000262979",-3.58669218331342,0.999919252887675,"ENSG00000262979",NA,NA
"ENSG00000263033",NA,NA,NA,"ENSG00000263033",-3.24036598983007,0.999919252887675,"ENSG00000263033",NA,NA
"ENSG00000263063",NA,NA,NA,"ENSG00000263063",0.446045424917463,0.999919252887675,"ENSG00000263063",NA,NA
"ENSG00000263189",NA,NA,NA,"ENSG00000263189",-3.24036598983007,0.999919252887675,"ENSG00000263189",NA,NA
"ENSG00000263241",NA,NA,NA,"MTCYBP33",-3.02642902840595,0.999919252887675,"MTCYBP33",NA,NA
"ENSG00000263531",NA,NA,NA,"ENSG00000263531",-2.91935845783927,0.999919252887675,"ENSG00000263531",NA,NA
"ENSG00000263590",NA,NA,NA,"LINC02591",-3.34895858358283,0.999919252887675,"LINC02591",NA,NA
"ENSG00000263684",NA,NA,NA,"ENSG00000263684",-3.34895858358283,0.999919252887675,"ENSG00000263684",NA,NA
"ENSG00000263847",NA,NA,NA,"ENSG00000263847",-2.97292286617747,0.999919252887675,"ENSG00000263847",NA,NA
"ENSG00000264007",NA,NA,NA,"ENSG00000264007",-1.71168058479957,0.999919252887675,"ENSG00000264007",NA,NA
"ENSG00000264127",NA,NA,NA,"SCML2P1",-2.91935845783927,0.999919252887675,"SCML2P1",NA,NA
"ENSG00000264235",NA,NA,NA,"MYL12-AS1",-3.3389893542428,0.999919252887675,"MYL12-AS1",NA,NA
"ENSG00000264273",NA,NA,NA,"ENSG00000264273",-3.33340408350148,0.999919252887675,"ENSG00000264273",NA,NA
"ENSG00000264345",NA,NA,NA,"LINC01894",-3.80920723449074,0.999919252887675,"LINC01894",NA,NA
"ENSG00000264359",NA,NA,NA,"NEK4P2",-4.35020385397965,0.999919252887675,"NEK4P2",NA,NA
"ENSG00000264365",NA,NA,NA,"ENSG00000264365",-3.9169980523045,0.999919252887675,"ENSG00000264365",NA,NA
"ENSG00000264448",NA,NA,NA,"MIR378D2HG",-0.0609865394535916,0.999919252887675,"MIR378D2HG",NA,NA
"ENSG00000264449",NA,NA,NA,"ENSG00000264449",-3.71053172444561,0.999919252887675,"ENSG00000264449",NA,NA
"ENSG00000264769",NA,NA,NA,"MAFG-AS1",-3.34895858358283,0.999919252887675,"MAFG-AS1",NA,NA
"ENSG00000264924",NA,NA,NA,"ENSG00000264924",-2.91935845783927,0.999919252887675,"ENSG00000264924",NA,NA
"ENSG00000264932",NA,NA,NA,"ENSG00000264932",-4.98576523452545,0.999919252887675,"ENSG00000264932",NA,NA
"ENSG00000264940",NA,NA,NA,"SNORD3C",-3.9169980523045,0.999919252887675,"SNORD3C",NA,NA
"ENSG00000265008",NA,NA,NA,"ENSG00000265008",-0.452169047883671,0.999919252887675,"ENSG00000265008",NA,NA
"ENSG00000265142",NA,NA,NA,"MIR133A1HG",-2.91935845783927,0.999919252887675,"MIR133A1HG",NA,NA
"ENSG00000265282",NA,NA,NA,"ENSG00000265282",-3.6124031007455,0.999919252887675,"ENSG00000265282",NA,NA
"ENSG00000265369",NA,NA,NA,"PCAT18",-3.02642902840595,0.999919252887675,"PCAT18",NA,NA
"ENSG00000265443",NA,NA,NA,"ENSG00000265443",-4.48410061266034,0.999919252887675,"ENSG00000265443",NA,NA
"ENSG00000265656",NA,NA,NA,"ENSG00000265656",-3.00130643722141,0.999919252887675,"ENSG00000265656",NA,NA
"ENSG00000265690",NA,NA,NA,"ENSG00000265690",-3.72470248300573,0.999919252887675,"ENSG00000265690",NA,NA
"ENSG00000265728",NA,NA,NA,"ENSG00000265728",-2.91935845783927,0.999919252887675,"ENSG00000265728",NA,NA
